type,set,faction,name,text
Spell,Fast Spell,Common,Backlash,Negate an enemy spell and deal 2 damage to that player.
Unit,Uncommon,"Campaign
Trials of Grodov [Set1006]",Battlefield Instigator,Flying Onslaught: Give another one of your units Berserk .
Unit,Common,Dark Frontier [Set6],Belligerent Yeti,Pay 1 and twist Belligerent Yeti to deal 1 damage to an enemy.
Spell,Common,"Campaign
Trials of Grodov [Set1006]",Blood Hunt,Give one of your units Killer . Scout .
Unit,Common,Echoes of Eternity [Set8],Bookclub Yeti,Sacrifice Bookclub Yeti to deal damage to an enemy unit equal to the highest cost among your relics.
Unit,Uncommon,The Empty Throne [Set1],Borderlands Waykeeper,Aegis Ultimate: Pay 4 to give Borderlands Waykeeper +1 Strength and Flying .
Unit,Uncommon,The Fall of Argenport [Set4],Campfire Watchman,NONE
Attachment,Weapon,Common,Changeestik,Flying Spellcraft 5: Play Polymorph.
Spell,Fast Spell,The Fall of Argenport [Set4],Clan Tactic,Deal 5 damage to an attacking enemy.
Unit,Uncommon,Omens of the Past [Set2],Cloudsnake Breeder,Spark: Play a 1/2 Cloudsnake Hatchling with Flying .
Attachment,Weapon,Rare,Cloudsnake Saddle,Can only be played on a unit with Flying .
Spell,Uncommon,The Dusk Road [Set3],Darkbolt,"Deal 1 damage to an enemy unit. At Night , deal 5 damage instead."
Unit,Rare,The Dusk Road [Set3],Darkveil Agent,"Summon: Night fall. When you start your turn at Night , your Unseen get Aegis ."
Spell,Common,Omens of the Past [Set2],Dragonbreath,Mentor: The Student deals its Strength in damage to an enemy unit.
Unit,Uncommon,The Fall of Argenport [Set4],Dusk Raider,Inspire: Units you draw get Berserk . Summon: Night fall.
Unit,Common,The Empty Throne [Set1],East-Wind Herald,Flying
Spell,Uncommon,The Flame of Xulta [Set7],Edict of Linrei,"Stun an enemy unit. If it's Fire or Time, transform it into a 0/1 Totemite and then stun it instead."
Spell,Common,The Empty Throne [Set0],Eilyn's Favor,You gain an Aegis . Draw a Primal Sigil from your deck.
Spell,Common,The Fall of Argenport [Set4],Entangling Vines,Warp Stun two enemy units.
Attachment,Relic,Rare,Eye of Winter,"Once per turn, you may pay 2 to stun a unit."
Unit,Uncommon,The Dusk Road [Set3],Fearless Yeti,"Overwhelm When Fearless Yeti hits the enemy player, scout."
Unit,Common,Dark Frontier [Set6],Fledgling Owlet,"Flying , Warp"
Unit,The Dusk Road [Set3],Primal,Flying Squirrel,Flying
Spell,Rare,Echoes of Eternity [Set8],Formbend,Transform a unit or relic into an Elemental with Strength/ Health equal to its cost.
Attachment,Curse,Common,Fragility,"When the cursed unit takes damage, kill it."
Attachment,Relic,Common,Frost Talisman,Pay 7 to draw a card. Summon: Stun an enemy unit.
Unit,"Campaign
Into Shadow [Set1004]",Primal,Goat,NONE
Spell,Fast Spell,Common,Gruanform,Give a unit +1/+4 this turn.
Spell,Common,The Empty Throne [Set1],Herald's Song,"Echo Draw a card, then discard a card."
Unit,Rare,The Fall of Argenport [Set4],Honored Skyguard,Flying Ultimate: Pay 2 and discard a card to give Honored Skyguard +1/+1 and draw a card.
Unit,Uncommon,The Dusk Road [Set3],Horizon Seeker,"Flying Summon: Night fall. When you play a Dinosaur, it gets +1 Health."
Spell,Fast Spell,Uncommon,Huddle Together,Your units get +2 Health this turn.
Spell,Fast Spell,Rare,Ice Bolt,Deal 7 damage to a unit. Its owner plays a Sigil of their choice from their deck Depleted .
Unit,The Flame of Xulta [Set7],Primal,Ice Elemental,Aegis
Unit,Uncommon,The Fall of Argenport [Set4],Iceberg Hailshrieker,Pay 1 and sacrifice Iceberg Hailshrieker to deal 2 damage to the enemy player.
Unit,Rare,The Dusk Road [Set3],Iceberg Mason,Summon: Move each Yeti in your deck one card closer to the top.
Unit,Common,Defiance [Set5],Kosul Huntsman,Renown: Killer .
Unit,Legendary,The Fall of Argenport [Set4],Lida's Apprentice,Lida's Apprentice can never be silenced. Your other cards can't be silenced while you have her.
Spell,Uncommon,The Empty Throne [Set1],Lightning Storm,Deal 2 damage to each unit.
Spell,Fast Spell,Common,Lightning Strike,Deal 4 damage to an attacking enemy.
Unit,Common,The Flame of Xulta [Set7],Linrei Evangel,Overwhelm Fate: Gain Primal.
Attachment,Relic,Rare,Maelstrom Bell,"Once per turn, you may pay 2 to increase the damage of the top spell of your deck by 1."
Unit,Common,Defiance [Set5],Master Cartographer,"Summon: Draw a card, then discard a card."
Spell,Rare,Omens of the Past [Set2],Mating Call,Mentor: Play each copy of the Student from the top 10 cards of your deck.
Attachment,Cursed Relic,Uncommon,Numbing Cold,"When the cursed player plays a spell, sacrifice Numbing Cold to negate it."
Unit,Common,Echoes of Eternity [Set8],Overlook Spotter,Pledge +3/+3 while the enemy player has ten or more cards in their void.
Spell,Fast Spell,Uncommon,Parry,Give one of your units +2 Health this turn. It deals 2 damage to an enemy unit.
Unit,The Empty Throne [Set1],Primal,Pig,NONE
Attachment,Weapon,Uncommon,Pokpok's Slingshot,Spellcraft 2: Play Snowball.
Unit,Common,The Fall of Argenport [Set4],Portent Reader,Flying Summon: You may discard a card to create and draw Second Sight.
Spell,Uncommon,Echoes of Eternity [Set8],Provoke the Dragons,Deal 2 damage. Your Dragons go Berserk .
Spell,Fast Spell,Uncommon,Read the Runes,Negate an enemy spell with cost 4 or more. Draw a card.
Spell,Uncommon,The Fall of Argenport [Set4],Read the Stars,Night fall. Draw a card.
Attachment,Curse,Rare,Regression,"At the start of the cursed unit's turn, transform it into a random unit that costs 1 less. When it would cost zero, kill it."
Attachment,Relic Weapon,Common,Reinforced Towershield,Summon: Gain Time or Shadow.
Spell,Uncommon,Dark Frontier [Set6],Re-read,Draw a spell from your void. It gets Voidbound .
Spell,Rare,Dark Frontier [Set6],Royal Decree,Transform a non-power card in the enemy hand into a Seek Power. Onslaught: Transform each other copy in their hand and deck.
Unit,Common,The Empty Throne [Set1],Scaly Gruan,NONE
Spell,Fast Spell,Common,Second Sight,"Draw two cards, then put a card from your hand on top of your deck."
Unit,The Empty Throne [Set1],Primal,Serpent Hatchling,Flying
Unit,The Empty Throne [Set1],Primal,Sky Serpent,Flying
Unit,Uncommon,The Flame of Xulta [Set7],Skywatch Zealot,Exalted Dragon Ally: Draw a card.
Unit,Legendary,Defiance [Set5],Snowdrift Delver,Renown: Create and draw a random relic.
Unit,Common,The Fall of Argenport [Set4],Snowfort Trumpeter,Tribute: +2/+2.
Spell,Common,The Empty Throne [Set1],Static Bolt,Deal 1 damage. Fate: Increase the damage dealt by each Static Bolt in your hand and deck by 1.
Attachment,Relic,Uncommon,Storm Talisman,"Summon: Scout . Once per turn, you may pay 8 to deal 2 damage to an enemy."
Unit,Rare,Defiance [Set5],Stormtamer Operative,All spells deal -1 damage.
Spell,Uncommon,The Dusk Road [Set3],Strategize,"Draw two cards, then put a card from your hand on the bottom of your deck."
Spell,Fast Spell,Uncommon,Talon Dive,Give a unit with Flying +2/+2 and Overwhelm this turn.
Spell,Uncommon,The Fall of Argenport [Set4],Tend the Flock,Play three 0/1 Sheep.
Spell,Common,The Fall of Argenport [Set4],Torrential Downpour,Deal 1 damage to each enemy. Scout .
Spell,Fast Spell,Common,Trailblaze,Scout . Draw a card.
Unit,Uncommon,The Dusk Road [Set3],Twilight Hermit,"When you start your turn at Night , transform Twilight Hermit into a 5/3 Twilight Prowler with Reckless ."
Spell,Fast Spell,Common,Unseal,Negate an enemy spell or curse.
Spell,Fast Spell,Common,Violent Gust,Deal 5 damage to a unit with Flying .
Unit,Uncommon,"Campaign
Dead Reckoning [Set1003]",Wardwielder,+3/+3 while you have an Aegis .
Unit,Rare,The Empty Throne [Set1],Whispering Wind,"Flying When Whispering Wind attacks, you may discard a card to draw a higher-cost card from your deck."
Unit,Uncommon,The Empty Throne [Set1],Wild Cloudsnake,"Flying When you play another unit with Flying , Wild Cloudsnake gets +1/+1."
Attachment,Relic,Uncommon,Wind Cloak,Pay 4 to give one of your units Flying this turn.
Attachment,Curse,Common,Winter's Grasp,Summon: Night fall. The cursed unit is stunned at Night .
Unit,Common,The Flame of Xulta [Set7],Yeti Gryffyn Rider,"Flying , Berserk Mastery 3: +1/+1."
Unit,Common,Omens of the Past [Set2],Yeti Snowchucker,"Reckless When Yeti Snowchucker attacks, it deals 1 damage to the enemy player."
Unit,Common,The Empty Throne [Set1],Yeti Snowslinger,Infiltrate: Create and draw a Snowball.
Unit,Common,The Dusk Road [Set3],Yeti Windflyer,Flying Yeti Ally: +1/+1.
Unit,Promo,The Flame of Xulta [Set7],"Yorja, The Tale Keeper","When one or more units are transformed, Yorja gets +1/+1. Mastery 6: Transform an enemy unit into a unit that costs 2 less and one of your other units into a unit that costs 2 more."
Unit,Rare,The Fall of Argenport [Set4],Acquisitive Crow,"Flying , Berserk When Acquisitive Crow attacks, create and draw a random 1-cost spell."
Unit,Common,The Fall of Argenport [Set4],Advance Scout,Flying Infiltrate: Scout .
Spell,Rare,The Fall of Argenport [Set4],Aerial Battle,Deal 5 damage to each unit with Flying .
Spell,Fast Spell,Common,Biting Winds,Deal 6 damage to an attacking enemy.
Attachment,Relic,Uncommon,Bottled Storm,"Pay 3 to deal 1 damage to an enemy. After the third use, sacrifice Bottled Storm. Entomb: If it's your turn, draw three cards."
Unit,Uncommon,The Flame of Xulta [Set7],Brutish Interloper,Reckless Mastery 6: +1/+1 and Overwhelm . Mastery 12: +3/+3 and Berserk .
Unit,Common,Dark Frontier [Set6],Camp Surveyor,Summon: Scout . Shift 1
Unit,Rare,Omens of the Past [Set2],Cloudsnake Harrier,Flying Your spells deal +1 damage.
Unit,Common,The Empty Throne [Set1],Cobalt Acolyte,Summon: Give a unit Flying .
Attachment,Relic,Uncommon,Cobalt Ring,"Once per turn, you may pay 3 to draw a card, then discard a card."
Unit,Uncommon,Defiance [Set5],Courier Albatross,Flying Amplify 3: +1/+1 and draw a card.
Unit,Common,Omens of the Past [Set2],Crafty Yeti,"Spark: Draw a card, then discard a card."
Spell,Fast Spell,Rare,Crashing Avalanche,Warp Deal 4 damage to each enemy unit and site that was played this turn.
Spell,Common,The Flame of Xulta [Set7],Cruelty,Play Inferiority Complex on an enemy unit. Decimate: Deal 2 damage to it.
Unit,Rare,The Dusk Road [Set3],Daring Pioneer,"Overwhelm When an enemy plays a spell, sacrifice Daring Pioneer to negate it."
Unit,The Dusk Road [Set3],Primal,Dinosaur,Overwhelm
Attachment,Relic,Rare,Eilyn's Sanctum,"Onslaught: Scout , then play a 2/2 Serpent with Flying . Pay 7 to play a 2/2 Serpent with Flying . If the enemy player has more than three cards in hand, play three instead."
Attachment,Curse,Common,Electropy,"At the end of the cursed unit's turn, it deals 1 damage to its owner."
Spell,Fast Spell,Common,Flash Freeze,Stun two enemy units.
Unit,Common,Defiance [Set5],Fledgling Avisaur,"Flying , Aegis Renown: You gain an Aegis ."
Unit,Common,Omens of the Past [Set2],Foothills Alpha,NONE
Unit,Uncommon,Echoes of Eternity [Set8],Forlorn Gryffyn,"Flying When you play a relic, you gain an Aegis ."
Unit,Uncommon,Dark Frontier [Set6],Frost Elemental,Flying Onslaught: Each Shift ed enemy unit takes one additional turn to emerge.
Unit,Defiance [Set5],Primal,Glacial Monstrosity,Overwhelm
Unit,Uncommon,Defiance [Set5],Glacier Shaper,Renown: Play a Glacial Monstrosity with Strength/ Health equal to the cost of that spell or weapon and Overwhelm .
Spell,Fast Spell,Common,Greed's Reward,Deal 1 damage to an enemy. Decimate: Draw a card for each damage Greed's Reward dealt.
Spell,Rare,"Campaign
Dead Reckoning [Set1003]",Hailstorm,Deal 3 damage to each unit.
Unit,Rare,Echoes of Eternity [Set8],Highsky Lookout,"Reckless Summon: If you have a unit with Flying , Invoke Primal. Corrupted 3"
Unit,Echoes of Eternity [Set8],Primal,Highsky Lookout Shade,"At the end of your turn, this gets -1 Health. Pay 3 and sacrifice Highsky Lookout Shade to Invoke Primal, if you have a unit with Flying ."
Unit,Legendary,The Fall of Argenport [Set4],Horde Plunderer,Berserk Your cards spellcraft for free.
Unit,Uncommon,The Empty Throne [Set1],Ice Sprite,Flying Summon: Stun an enemy unit. It stays stunned while you have Ice Sprite.
Attachment,Weapon,Common,Icebow,Summon: The wielder deals 1 damage to an enemy.
Unit,Uncommon,The Empty Throne [Set1],Icebreaker,Exhaust Icebreaker to kill a stunned enemy unit.
Spell,Rare,The Flame of Xulta [Set7],Inspired Prank,Play a 1/1 Snowman with +1/+1 for each other spell in your void. Bargain: Hit the enemy player with two or more Yeti.
Unit,Rare,The Fall of Argenport [Set4],Jennev Merchant,Aegis Summon: You may choose a card from your hand to swap with a Primal card in your Market .
Unit,Legendary,Dark Frontier [Set6],"Larai, the Appraiser",The enemy player can't attack with relic weapons or activate relics. Pay 2 and twist Larai to draw a relic from your deck with cost equal to her Health.
Unit,Common,The Fall of Argenport [Set4],Lethrai Darkstalker,+4 Strengthat Night . Summon: Night fall.
Unit,Uncommon,The Fall of Argenport [Set4],Lethrai Secretweaver,Pay 4 and discard a spell to draw two cards.
Unit,Uncommon,Dark Frontier [Set6],Lightning Sprite,"Flying Pay 1 and twist Lightning Sprite to draw a card, then discard a card."
Spell,Fast Spell,Uncommon,Linrei's Protection,You gain an Aegis . Draw a card.
Attachment,Relic,Legendary,Mind Link,"When you transform an enemy card, other than one in their deck, create and draw a copy of the new card."
Spell,Uncommon,The Empty Throne [Set1],Mirror Image,Play a copy of one of your units.
Unit,Rare,The Dusk Road [Set3],Nocturnal Observer,"Summon: Night fall. You may exhaust Nocturnal Observer at Night to draw a card, then discard a card."
Unit,Uncommon,Dark Frontier [Set6],Peaktop Trekker,"Overwhelm When you scout, Peaktop Trekker gets +2/+2."
Spell,Uncommon,The Empty Throne [Set1],Polymorph,Transform a unit into a 1/1 Frog.
Unit,Rare,"Campaign
Trials of Grodov [Set1006]",Preyfinder,"When one of your units makes a Killer attack, draw a card."
Unit,Uncommon,The Fall of Argenport [Set4],Rabid Yeti,Killer
Spell,Fast Spell,Common,Rainfall Accord,"Draw two cards, then discard a card."
Attachment,Weapon,Rare,Shapeshifter's Mask,"At the end of your turn, transform the wielder into a random unit that costs 1 more."
Unit,Rare,Defiance [Set5],Skycrag Scalebreaker,Fate: Create and draw a Skycrag Goad with Flying . Renown: +2 Strength.
Unit,Common,The Empty Throne [Set1],Skysnapper,"Flying , Reckless"
Attachment,Relic,Common,Snowfort,Your units have +1 Health.
Unit,Legendary,"Campaign
The Tale of Horus Traver [Set1002]",South-Wind Herald,"Flying At the end of your turn, if you have all four Wind Heralds, sacrifice them to play a 9/9 Avatar of Winds."
Unit,Common,Echoes of Eternity [Set8],Spellstorm Stranger,"When one or more Strangers attack, their owner's spells deal +1 damage until their next turn."
Attachment,Cursed Relic,Common,Static Discharge,"When the cursed player plays a spell or attachment, they deal 1 damage to themselves."
Spell,Fast Spell,Uncommon,Storm Spiral,Deal 2 damage to each unit and player.
Unit,Common,Omens of the Past [Set2],Stormcrasher,Flying Ultimate: Pay 6 to give Stormcrasher +2/+2.
Attachment,Relic,Legendary,Sunken Tower,"Once per turn, you may pay 5 to play a copy of one of your units without Reckless , then give them both Reckless . After the third use, sacrifice Sunken Tower to stun all units."
Unit,Rare,The Fall of Argenport [Set4],Temple Shihan,Inspire: Units you draw get Flying . Summon: Play Inferiority Complex on an enemy unit.
Site,Legendary,Dark Frontier [Set6],Thudrock's Masterwork,"Your Yeti and Snowmen have +1/+1. Thudrock's Agenda: Jump Kick, Snowball, Fend Off."
Unit,Uncommon,The Empty Throne [Set0],Thunderbird,"Flying , Aegis"
Unit,Common,The Flame of Xulta [Set7],Thunderclaw Raven,Flying Mastery 6: Draw a curse of your choice from your deck.
Unit,Uncommon,The Flame of Xulta [Set7],Tidecaller,Muster: Play a 4/4 Living Wave with Charge . Sacrifice it at the end of the turn.
Spell,Fast Spell,Uncommon,Touch of Wild,"Give one of your units Overwhelm . Then give a unit, weapon, or spell in your hand Overwhelm ."
Unit,Rare,"Campaign
Into Shadow [Set1004]",Trumpeting Warhowler,Reckless Inspire: Units you draw get Killer .
Unit,Uncommon,The Empty Throne [Set1],Tundra Explorer,"When Tundra Explorer attacks, if the top card of your deck is a spell, draw it."
Unit,"Campaign
The Tale of Horus Traver [Set1002]",Primal,Unseen Disciple,NONE
Unit,Common,The Dusk Road [Set3],Voracious Fosora,Reckless
Spell,Fast Spell,Uncommon,Water Conjuring,Stun two enemy units. Decimate: Invoke Primal.
Unit,Common,The Dusk Road [Set3],Wild Rider,"When Wild Rider hits the enemy player, it gets +1 Strength."
Spell,Fast Spell,Common,Wisdom of the Elders,Draw two cards.
Unit,Promo,The Empty Throne [Set1],"Wump, Party Starter","When you play a Yeti, it deals 1 damage to the enemy player. Your other Yeti have +1/+1."
Unit,Rare,The Dusk Road [Set3],Yeti Furflinger,Summon: Night fall. Ultimate: Pay 6 to transform another unit into a 2/2 Flying Squirrel.
Unit,Common,Dark Frontier [Set6],Yeti Instigator,NONE
Unit,Rare,The Fall of Argenport [Set4],"Aeva, Eilyn's Elite",Flying Tribute: Create and draw two 1/2 Cloudsnakes with Flying . Infiltrate: Create and draw two 1/2 Cloudsnakes with Flying .
Unit,Uncommon,Dark Frontier [Set6],Aggressive Ursine,Onslaught: Your other units get +2 Health.
Unit,Dark Frontier [Set6],Primal,Arc Dragon,"Flying , Berserk , Overwhelm Your spells deal +1 damage."
Unit,Rare,Dark Frontier [Set6],"Bam, Sneakeepeekee","When Bam attacks, play a 1/1 Yeti Spy. Shift 3: Transform a card of your choice in the enemy Market into a 1/1 Yeti Spy."
Unit,Legendary,The Flame of Xulta [Set7],"Blitrok, Linrei's Listener",Pay 3 to deal 1 damage to an enemy. Summon: Invoke Primal. Mastery 3: +3/+3 and Invoke Primal.
Unit,Legendary,The Fall of Argenport [Set4],Breeze Dancer,Flying Inspire: Units you draw get a random battle skill.
Unit,Common,Echoes of Eternity [Set8],Brood of Eremot,Flying
Unit,Rare,Echoes of Eternity [Set8],Brutal Frostlord,"Flying , Killer Pay 7 to deal 1 damage to the enemy player for each card in their hand."
Attachment,Weapon,Legendary,Clutch of Talons,Flying Amplify 2: Play a 5/5 Dragon with Flying .
Spell,Rare,The Dusk Road [Set3],Clutchmate,"Play a copy of one of your units. If it's a Dinosaur, give both +1/+1."
Unit,Common,Defiance [Set5],Court Mage,Pledge
Unit,Common,The Dusk Road [Set3],Cutbrush Cartographer,"When you draw a card, Cutbrush Cartographer gets +1 Strength."
Unit,Rare,The Flame of Xulta [Set7],Daring Gryffyn,"Flying , Exalted , Reckless When the enemy player plays a spell, sacrifice Daring Gryffyn to negate it."
Spell,Common,Dark Frontier [Set6],Death from Above,Give a unit Flying and Berserk this turn.
Unit,Rare,The Empty Throne [Set1],Deranged Dinomancer,"At the start of your turn, transform a unit into a 5/5 Carnosaur."
Unit,Common,Dark Frontier [Set6],Elder Meditant,Aegis Pay 3 and twist Elder Meditant to draw a card.
Unit,Uncommon,The Flame of Xulta [Set7],Fearstoker Raven,"Flying At the end of each turn, if a player discarded a card, Fearstoker Raven gets +2 Strength."
Attachment,Weapon,Uncommon,Freewing Glider,Flying Summon: Scout .
Unit,Common,The Fall of Argenport [Set4],Galeprowler,"When you play a spell, Galeprowler gets +1/+1 and Flying this turn."
Spell,Uncommon,"Campaign
Homecoming [Set1005]",Honor of Claws,"Draw three cards, then discard a card."
Unit,Uncommon,The Fall of Argenport [Set4],Icicle Marksman,"When you play a spell, Icicle Marksman deals 1 damage to the enemy player."
Spell,Legendary,Dark Frontier [Set6],Innate Conviction,Warp Deal 3 damage. Onslaught: Create and draw a 3/4 Arc Dragon.
Unit,Common,The Empty Throne [Set1],Jarrall's Frostkin,Summon: Stun an enemy unit.
Unit,Common,Omens of the Past [Set2],Jotun Cyclops,Overwhelm Spark: Create and draw a Snowball.
Unit,Legendary,The Dusk Road [Set3],Lastlight Druid,"Summon: Night fall. When you end a turn at Night , transform each other unit you played this turn into a random unit that costs 1 more."
Attachment,Relic,Uncommon,Lens of Clarity,Your spells deal +1 damage.
Unit,Legendary,Dark Frontier [Set6],Lethrai Soothsayer,Flying Onslaught: Put seven Premonition Bolts into your deck.
Attachment,Relic,Legendary,Linrei's Codex,Your single-faction units have Flying . Spellcraft 3: Play Crystallize. Pay 6 to draw a card for each of your single-faction units.
Unit,The Flame of Xulta [Set7],Primal,Living Wave,Charge
Spell,Common,Defiance [Set5],Mass Entomancy,Transform a unit into a 1/1 Humbug with Flying . Amplify 4: Transform an additional unit into a 1/1 Humbug with Flying .
Unit,Uncommon,The Dusk Road [Set3],Meditation Trainer,Your units with two or more battle skills have +1/+1.
Unit,Common,Dark Frontier [Set6],Murderous Flock,"When you scout, Murderous Flock gets Flying this turn."
Unit,Common,The Dusk Road [Set3],Nocturnal Kyrex,Killer Summon: Night fall.
Unit,Uncommon,Echoes of Eternity [Set8],Plagued Gryffyn,Flying Summon: Play Electropy on an enemy unit. Corrupted 6
Unit,Echoes of Eternity [Set8],Primal,Plagued Gryffyn Shade,"At the end of your turn, this gets -1 health. Pay 6 and sacrifice Plagued Gryffyn Shade to play Electropy on an enemy unit."
Unit,Legendary,"Campaign
Into Shadow [Set1004]",Poaching Drake,Flying Summon: You may transform an enemy unit with cost 3 or less into a 2/1 Goat.
Spell,Rare,The Empty Throne [Set1],Rain of Frogs,"Choose a non-power card from the enemy player's hand. Transform each copy in their hand, deck, and void into 1/1 Frogs with Destiny ."
Unit,Uncommon,Defiance [Set5],Reclusive Scholar,Renown: Play a Cobalt Ring.
Spell,Fast Spell,Rare,Rejection,Negate an enemy spell. The enemy player discards all copies from their hand and deck. Rejection can't be negated.
Spell,Uncommon,The Fall of Argenport [Set4],Resurface,Warp Move a spell of your choice to the top of your deck.
Spell,Fast Spell,Common,Reverberating Strike,Deal 1 damage to each enemy.
Unit,Common,Omens of the Past [Set2],Ridgeline Watcher,Aegis
Unit,Common,Echoes of Eternity [Set8],Runemarker,Mastery 4: Your units with Flying get Killer .
Unit,Common,The Fall of Argenport [Set4],Scavenging Spikeback,Overwhelm Tribute: +2/+2.
Unit,Uncommon,Omens of the Past [Set2],Serpent Mount,Flying Mentor: Serpent Mount gets the Student 's Strength.
Unit,Common,The Empty Throne [Set1],Serpent Trainer,Flying Infiltrate: Play a 2/2 Serpent Hatchling with Flying .
Unit,Rare,Defiance [Set5],Shadowlands Borderscout,"Flying , Pledge When Shadowlands Borderscout hits the enemy player, draw a card for each damage dealt."
Attachment,Weapon,Defiance [Set5],Skycrag Goad,Flying
Unit,Rare,Omens of the Past [Set2],Skyward Seer,Spark: Draw a unit with Flying of your choice from your deck.
Unit,Uncommon,The Dusk Road [Set3],Slushdumper,Ultimate: Pay 4 to give Slushdumper +1/+1 for each of your Yeti. Each of your Yeti deals 1 damage to the enemy player.
Unit,Uncommon,The Empty Throne [Set1],Soaring Stranger,Strangers have Flying .
Unit,Rare,The Fall of Argenport [Set4],Spiritward Shaman,"Inspire: Units you draw get Aegis . At the start of your turn, you gain an Aegis ."
Unit,Uncommon,The Empty Throne [Set1],Stormcaller,Exhaust Stormcaller to deal 1 damage.
Spell,Fast Spell,Uncommon,Sudden Schism,Play a copy of one of your units.
Attachment,Relic,Rare,The Winter Crown,"At the end of your turn, draw a card if any of your units hit the enemy player. Once per turn, you may pay 3 to stun a ready enemy unit."
Unit,Legendary,The Dusk Road [Set3],"Thudrock, Arctic Artisan","When Thudrock hits the enemy player, play a Snowman with Strength/ Health equal to your number of Yeti."
Attachment,Cursed Relic,Rare,Tidal Forces,"At the start of your turn, if the cursed player has two or more cards in their hand, play a 4/4 Living Wave with Charge . Sacrifice it at the end of the turn."
Unit,Rare,Omens of the Past [Set2],"Torgov, Icecap Trader","When Torgov hits the enemy player, draw a card, then discard a card. +3/+3 while you have 10 or more cards in your void."
Unit,The Dusk Road [Set3],Primal,Twilight Prowler,Reckless
Spell,Fast Spell,Rare,Tyrannize,Transform a unit into a 5/5 Carnosaur.
Unit,Legendary,Echoes of Eternity [Set8],"Uelo, Sky Tactician","Pledge When you attack with one or more units with Flying , play a 2/3 Wolf."
Unit,Legendary,Omens of the Past [Set2],Watcher of the Big Ones,"When Watcher of the Big Ones is a Student , play a 5/5 Carnosaur."
Unit,Uncommon,The Empty Throne [Set1],Windshaper,Your units with Flying have +1/+1.
Unit,Common,The Flame of Xulta [Set7],Yeti Traditionalist,Overwhelm Muster: +2/+2.
Unit,Uncommon,The Empty Throne [Set1],Yeti Troublemaker,Echo
Unit,Rare,"Campaign
The Tale of Horus Traver [Set1002]",Yetipult,Summon: Deal 1 damage to three enemies. Pay 7 and exhaust Yetipult to draw three cards. Stun Yetipult.
Unit,Common,The Empty Throne [Set1],Aerial Ace,"Aegis , Flying"
Unit,Legendary,The Dusk Road [Set3],"Alu, Death-Dreamer","Flying Summon: Night fall. When you play a curse, play a 3/3 Unseen with a random battle skill."
Unit,Legendary,The Fall of Argenport [Set4],Big Brother,"Big Brother can't attack or block. Summon: Play two 1/1 Little Brothers. When a Little Brother hits the enemy player, silence Big Brother."
Unit,The Empty Throne [Set1],Primal,Carnosaur,NONE
Unit,Uncommon,Defiance [Set5],Cliffdiver Mantasaur,"Flying , Aegis , Pledge"
Unit,Common,The Fall of Argenport [Set4],Cliffside Caretaker,Inspire: Units you draw get Flying .
Spell,Rare,The Empty Throne [Set1],Crystallize,Stun and deal 1 damage to each enemy unit.
Unit,Common,Echoes of Eternity [Set8],Double Helix Drake,Flying Your spells deal +1 damage. Mastery 3: Your spells deal an additional +1 damage.
Unit,Uncommon,Defiance [Set5],Elvish Swindler,Summon: Play a relic of your choice with cost 2 or less from your deck.
Spell,Uncommon,Dark Frontier [Set6],Ferocity of Bear,Give two of your units Killer .
Unit,Common,The Fall of Argenport [Set4],First-Frost Shaman,Summon: Give one of your other units +3 Health while you have First-Frost Shaman.
Attachment,Weapon,Rare,Gleaming Shield,Summon: The wielder gets Aegis . Spellcraft 2: Play Mirror Image.
Unit,Uncommon,The Flame of Xulta [Set7],Greenstretch Empath,Muster: Draw two cards.
Spell,Common,Dark Frontier [Set6],Hold Under,Warp Deal damage to an enemy unit equal to the highest Strength among your units.
Unit,Legendary,The Dusk Road [Set3],Jotun Feast-Caller,"Aegis When Jotun Feast-Caller attacks, draw 1 [if:400591&gt;1, cards, card. Then, increase this ability by 1."
Unit,Uncommon,The Empty Throne [Set1],Jotun Hurler,Fate: Create and draw a Snowball.
Unit,Uncommon,The Dusk Road [Set3],Jotun Punter,"Exhaust Jotun Punter to give one of your Yeti +4 Strength and Flying this turn. At the end of your turn, stun that Yeti."
Unit,Common,The Empty Throne [Set1],Jotun Warrior,NONE
Unit,Uncommon,Dark Frontier [Set6],Keen Saddleback,Flying Shift 3: Give one of your other units Flying until Keen Saddleback emerges.
Unit,Rare,The Dusk Road [Set3],"Lida, Most Skilled",Overwhelm Unseen Ally: Killer .
Unit,Legendary,Echoes of Eternity [Set8],Linrei's Stranger,"When a player plays a Stranger, they stun a non-Stranger enemy unit. When Linrei's Stranger attacks, play a 3/3 Dragon with Flying ."
Unit,Legendary,The Empty Throne [Set1],Magus of the Mist,Summon: Play a 6/6 Illusionary Dragon with Flying that dies if Magus of the Mist dies.
Spell,Legendary,Dark Frontier [Set6],Mass Polymorph,Warp Transform each of your units into random units that cost 1 more.
Unit,Legendary,Omens of the Past [Set2],Pearlescent Drake,"Flying , Reckless Spark: +4 Health."
Unit,Uncommon,The Empty Throne [Set0],Primal Incarnation,Flying +1 Strength for each of your Primal influence.
Spell,Fast Spell,Rare,Prodigious Sorcery,Draw two spells that deal damage from your void. Decimate: They get Double Damage .
Unit,Uncommon,The Empty Throne [Set1],Psionic Savant,"Flying When you draw a card, Psionic Savant gets +1/+1."
